'	' 1.0
jjr-tl	better 0.13333333333333333 elder 0.06666666666666667 greater 0.4 higher 0.2 lower 0.13333333333333333 younger 0.06666666666666667
jjs	chief 0.1615598885793872 foremost 0.013927576601671309 head 0.011142061281337047 innermost 0.002785515320334262 key 0.0807799442896936 main 0.2757660167130919 master 0.011142061281337047 northernmost 0.002785515320334262 paramount 0.022284122562674095 principal 0.19498607242339833 principle 0.002785515320334262 top 0.19498607242339833 topmost 0.002785515320334262 tops 0.005571030640668524 uppermost 0.002785515320334262 utmost 0.013927576601671309
jjs-hl	top 1.0
jjs-tl	chief 0.4 main 0.5 paramount 0.05 top 0.05
jjt	angriest 0.0009950248756218905 barest 0.0029850746268656717 best 0.28756218905472636 best-educated 0.0009950248756218905 best-gaited 0.0009950248756218905 best-hearted 0.0009950248756218905 best-known 0.0009950248756218905 best-looking 0.0009950248756218905 best-preserved 0.0009950248756218905 best-tempered 0.0009950248756218905 biggest 0.023880597014925373 bitterest 0.001990049751243781 blackest 0.0009950248756218905 bloodiest 0.0009950248756218905 boldest 0.0009950248756218905 bravest 0.0009950248756218905 briefest 0.0009950248756218905 brightest 0.001990049751243781 broadest 0.0009950248756218905 busiest 0.001990049751243781 calmest 0.0009950248756218905 choicest 0.001990049751243781 classiest 0.0009950248756218905 closest 0.008955223880597015 coldest 0.003980099502487562 commonest 0.0009950248756218905 coolest 0.0029850746268656717 corniest 0.0009950248756218905 crassest 0.0009950248756218905 crudest 0.0009950248756218905 cruelest 0.0009950248756218905 cutest 0.0009950248756218905 darkest 0.001990049751243781 deadliest 0.001990049751243781 dearest 0.001990049751243781 deepest 0.011940298507462687 densest 0.0009950248756218905 dullest 0.001990049751243781 earliest 0.021890547263681594 easiest 0.006965174129353234 eldest 0.004975124378109453 faintest 0.0029850746268656717 fairest 0.0009950248756218905 farthest 0.001990049751243781 fastest 0.005970149253731343 fiercest 0.0009950248756218905 finest 0.015920398009950248 fittest 0.001990049751243781 flattest 0.0009950248756218905 fleetest 0.0009950248756218905 foulest 0.0009950248756218905 frailest 0.0009950248756218905 frankest 0.0009950248756218905 freest 0.001990049751243781 fullest 0.004975124378109453 funniest 0.001990049751243781 gravest 0.0029850746268656717 greatest 0.08557213930348259 greenest 0.001990049751243781 handiest 0.0009950248756218905 handsomest 0.0009950248756218905 happiest 0.0029850746268656717 hardest 0.008955223880597015 healthiest 0.0009950248756218905 heartiest 0.0009950248756218905 heaviest 0.001990049751243781 highest 0.056716417910447764 highest-paid 0.0009950248756218905 hindmost 0.0009950248756218905 hottest 0.003980099502487562 juiciest 0.0009950248756218905 keenest 0.001990049751243781 kindest 0.0009950248756218905 largest 0.0527363184079602 latest 0.03482587064676617 leafiest 0.0009950248756218905 lightest 0.001990049751243781 littlest 0.0009950248756218905 loneliest 0.0009950248756218905 longest 0.005970149253731343 loosest 0.0009950248756218905 loudest 0.0029850746268656717 loveliest 0.0029850746268656717 lowest 0.012935323383084577 lowliest 0.0009950248756218905 meanest 0.0009950248756218905 meekest 0.0009950248756218905 merest 0.0029850746268656717 merriest 0.0009950248756218905 mightiest 0.0009950248756218905 nastiest 0.0009950248756218905 nearest 0.01791044776119403 neatest 0.0009950248756218905 newest 0.014925373134328358 nicest 0.0009950248756218905 noblest 0.004975124378109453 oldest 0.013930348258706468 palest 0.0009950248756218905 plainest 0.0009950248756218905 poorest 0.0029850746268656717 poshest 0.0009950248756218905 prettiest 0.003980099502487562 profoundest 0.0009950248756218905 proudest 0.0009950248756218905 purest 0.0029850746268656717 purtiest 0.0009950248756218905 queerest 0.0009950248756218905 quickest 0.0009950248756218905 rankest 0.0009950248756218905 realest 0.0009950248756218905 remotest 0.0009950248756218905 richest 0.004975124378109453 roaringest 0.0009950248756218905 roughest 0.0009950248756218905 safest 0.003980099502487562 sanest 0.0009950248756218905 sharpest 0.0009950248756218905 shortest 0.0029850746268656717 shrewdest 0.0009950248756218905 simplest 0.009950248756218905 sincerest 0.0009950248756218905 slightest 0.012935323383084577 slowest 0.001990049751243781 smallest 0.012935323383084577 smoothest 0.0009950248756218905 softest 0.0009950248756218905 sorest 0.0009950248756218905 sorriest 0.0009950248756218905 sportiest 0.0009950248756218905 stanchest 0.0009950248756218905 staunchest 0.0029850746268656717 steepest 0.0009950248756218905 strangest 0.0009950248756218905 strictest 0.001990049751243781 strongest 0.01990049751243781 stupidest 0.0009950248756218905 sweetest 0.001990049751243781 swiftest 0.0009950248756218905 thickest 0.0009950248756218905 tightest 0.001990049751243781 tightest-fitting 0.0009950248756218905 tiniest 0.0029850746268656717 toughest 0.001990049751243781 truest 0.001990049751243781 unhappiest 0.0009950248756218905 vaguest 0.0009950248756218905 weakest 0.0029850746268656717 wealthiest 0.0009950248756218905 widest 0.0029850746268656717 wildest 0.0009950248756218905 wisest 0.0009950248756218905 worst 0.03383084577114428 worthiest 0.001990049751243781 yongst 0.0009950248756218905 youngest 0.011940298507462687
jjt-hl	best 0.5 coolest 0.16666666666666666 gravest 0.16666666666666666 highest 0.16666666666666666
jjt-nc	silliest 1.0
jjt-tl	greatest 0.5 highest 0.25 youngest 0.25
md	c'n 8.044405116241654e-05 can 0.14142064194352827 colde 0.00024133215348724963 could 0.12854959375754163 dare 0.0004022202558120827 kin 8.044405116241654e-05 maht 8.044405116241654e-05 mai 8.044405116241654e-05 may 0.10449682245997909 maye 0.00016088810232483308 mayst 8.044405116241654e-05 might 0.05293218566487008 must 0.08036360711125412 need 0.0030568739441718283 ought 0.005470195479044325 shall 0.0213981176092028 should 0.0710320971764138 shuld 0.00024133215348724963 shulde 8.044405116241654e-05 wil 8.044405116241654e-05 will 0.17134582897594722 wilt 8.044405116241654e-05 wod 8.044405116241654e-05 wold 8.044405116241654e-05 wolde 8.044405116241654e-05 would 0.21800337865014882
md*	cain't 0.0011547344110854503 can't 0.1951501154734411 cannot 0.2979214780600462 coudn 0.0011547344110854503 couldn't 0.20207852193995382 musn't 0.0011547344110854503 mustn't 0.005773672055427252 shan't 0.0011547344110854503 shouldn't 0.025404157043879907 won't 0.12124711316397228 wouldn't 0.14780600461893764
md*-hl	wouldn't 1.0
md+hv	could've 0.14285714285714285 coulda 0.14285714285714285 must've 0.2857142857142857 musta 0.14285714285714285 shouldda 0.14285714285714285 woulda 0.14285714285714285
md+ppss	willya 1.0
md+to	oughta 1.0
md-hl	can 0.07407407407407407 could 0.1111111111111111 may 0.07407407407407407 might 0.037037037037037035 must 0.2222222222222222 should 0.1111111111111111 will 0.2222222222222222 would 0.14814814814814814
md-nc	can 0.5 shall 0.5
md-tl	can 0.125 may 0.125 must 0.375 shall 0.125 should 0.25
nil	( 0.06369426751592357 ) 0.06369426751592357 - 0.03821656050955414 -- 0.006369426751592357 135*0c. 0.006369426751592357 29 0.006369426751592357 32*0c. 0.006369426751592357 32-degrees-c 0.006369426751592357 38 0.025477707006369428 38*0 0.006369426751592357 43*0 0.006369426751592357 43*0c 0.006369426751592357 43*0c. 0.012738853503184714 49*0 0.006369426751592357 60*0c. 0.006369426751592357 71*&0c. 0.006369426751592357 : 0.006369426751592357 ? 0.006369426751592357 a 0.01910828025477707 about 0.006369426751592357 af 0.006369426751592357 after-school 0.006369426751592357 among 0.006369426751592357 an 0.012738853503184714 and 0.01910828025477707 as 0.006369426751592357 attack 0.006369426751592357 b.t.u./sq. 0.006369426751592357 be 0.012738853503184714 before 0.006369426751592357 being 0.006369426751592357 bianco 0.006369426751592357 buber-think 0.006369426751592357 by 0.006369426751592357 c. 0.006369426751592357 calls 0.006369426751592357 can 0.006369426751592357 commence 0.006369426751592357 commitments 0.006369426751592357 construction 0.006369426751592357 crisis 0.006369426751592357 desperately 0.006369426751592357 development 0.006369426751592357 dunkirk 0.006369426751592357 eliot-or-martin 0.006369426751592357 entered 0.006369426751592357 even 0.006369426751592357 exceed 0.006369426751592357 expenditures 0.006369426751592357 faires 0.006369426751592357 fairy 0.006369426751592357 fresco 0.006369426751592357 friends 0.006369426751592357 ft. 0.006369426751592357 games 0.006369426751592357 given 0.006369426751592357 grimm's 0.006369426751592357 had 0.006369426751592357 has 0.006369426751592357 he 0.012738853503184714 his 0.012738853503184714 i 0.006369426751592357 if 0.006369426751592357 ij 0.006369426751592357 in 0.01910828025477707 into 0.01910828025477707 is 0.006369426751592357 launched 0.006369426751592357 launches 0.006369426751592357 ld 0.006369426751592357 made 0.01910828025477707 many 0.006369426751592357 material/hr./*0f./in. 0.006369426751592357 may 0.006369426751592357 measuring 0.006369426751592357 ministers 0.006369426751592357 more 0.006369426751592357 must 0.006369426751592357 neighborhood 0.006369426751592357 obligations 0.006369426751592357 of 0.012738853503184714 on 0.012738853503184714 or 0.006369426751592357 pamphlet 0.006369426751592357 part 0.006369426751592357 program 0.006369426751592357 s. 0.006369426751592357 sangiovanni 0.006369426751592357 scale 0.006369426751592357 taking 0.006369426751592357 tales 0.006369426751592357 that 0.006369426751592357 the 0.01910828025477707 their 0.006369426751592357 them 0.006369426751592357 then 0.006369426751592357 thickness 0.006369426751592357 threefold 0.006369426751592357 thus 0.006369426751592357 to 0.01910828025477707 tory 0.006369426751592357 translate 0.006369426751592357 trying 0.006369426751592357 twofold 0.006369426751592357 what-will-t. 0.006369426751592357 which 0.006369426751592357 whom 0.006369426751592357 year 0.012738853503184714 years 0.006369426751592357
